city_code,province,city
110000,北京,北京
120000,天津,天津
130000,河北
130100,河北,石家庄
130200,河北,唐山
130300,河北,秦皇岛
130400,河北,邯郸
130500,河北,邢台
130600,河北,保定
130700,河北,张家口
130800,河北,承德
130900,河北,沧州
131000,河北,廊坊
131100,河北,衡水
140000,山西
140100,山西,太原
140200,山西,大同
140300,山西,阳泉
140400,山西,长治
140500,山西,晋城
140600,山西,朔州
140700,山西,晋中
140800,山西,运城
140900,山西,忻州
141000,山西,临汾
141100,山西,吕梁
150000,内蒙古
150100,内蒙古,呼和浩特
150200,内蒙古,包头
150300,内蒙古,乌海
150400,内蒙古,赤峰
150500,内蒙古,通辽
150600,内蒙古,鄂尔多斯
150700,内蒙古,呼伦贝尔
150800,内蒙古,巴彦淖尔
150900,内蒙古,乌兰察布
152200,内蒙古,兴安盟
152201,内蒙古,乌兰浩特
152500,内蒙古,锡林郭勒盟
152900,内蒙古,阿拉善盟
210000,辽宁
210100,辽宁,沈阳
210200,辽宁,大连
210300,辽宁,鞍山
210400,辽宁,抚顺
210500,辽宁,本溪
210600,辽宁,丹东
210700,辽宁,锦州
210800,辽宁,营口
210900,辽宁,阜新
211000,辽宁,辽阳
211100,辽宁,盘锦
211200,辽宁,铁岭
211300,辽宁,朝阳
211400,辽宁,葫芦岛
220000,吉林
220100,吉林,长春
220200,吉林,吉林市
220300,吉林,四平
220400,吉林,辽源
220500,吉林,通化
220600,吉林,白山
220700,吉林,松原
220800,吉林,白城
222400,吉林,延边朝鲜族自治州
230000,黑龙江
230100,黑龙江,哈尔滨
230200,黑龙江,齐齐哈尔
230300,黑龙江,鸡西
230400,黑龙江,鹤岗
230500,黑龙江,双鸭山
230600,黑龙江,大庆
230700,黑龙江,伊春
230800,黑龙江,佳木斯
230900,黑龙江,七台河
231000,黑龙江,牡丹江
231100,黑龙江,黑河
231200,黑龙江,绥化
232700,黑龙江,大兴安岭地区
310000,上海,上海
320000,江苏
320100,江苏,南京
320200,江苏,无锡
320300,江苏,徐州
320400,江苏,常州
320500,江苏,苏州
320600,江苏,南通
320700,江苏,连云港
320800,江苏,淮安
320900,江苏,盐城
321000,江苏,扬州
321100,江苏,镇江
321200,江苏,泰州
321300,江苏,宿迁
330000,浙江
330100,浙江,杭州
330200,浙江,宁波
330300,浙江,温州
330400,浙江,嘉兴
330500,浙江,湖州
330600,浙江,绍兴
330700,浙江,金华
330800,浙江,衢州
330900,浙江,舟山
331000,浙江,台州
331100,浙江,丽水
340000,安徽
340100,安徽,合肥
340200,安徽,芜湖
340300,安徽,蚌埠
340400,安徽,淮南
340500,安徽,马鞍山
340600,安徽,淮北
340700,安徽,铜陵
340800,安徽,安庆
341000,安徽,黄山
341100,安徽,滁州
341200,安徽,阜阳
341300,安徽,宿州
341500,安徽,六安
341600,安徽,亳州
341700,安徽,池州
341800,安徽,宣城
350000,福建
350100,福建,福州
350200,福建,厦门
350300,福建,莆田
350400,福建,三明
350500,福建,泉州
350600,福建,漳州
350700,福建,南平
350800,福建,龙岩
350900,福建,宁德
360000,江西
360100,江西,南昌
360200,江西,景德镇
360300,江西,萍乡
360400,江西,九江
360500,江西,新余
360600,江西,鹰潭
360700,江西,赣州
360800,江西,吉安
360900,江西,宜春
361000,江西,抚州
361100,江西,上饶
370000,山东
370100,山东,济南
370200,山东,青岛
370300,山东,淄博
370400,山东,枣庄
370500,山东,东营
370600,山东,烟台
370700,山东,潍坊
370800,山东,济宁
370900,山东,泰安
371000,山东,威海
371100,山东,日照
371200,山东,莱芜
371300,山东,临沂
371400,山东,德州
371500,山东,聊城
371600,山东,滨州
371700,山东,菏泽
410000,河南
410100,河南,郑州
410200,河南,开封
410300,河南,洛阳
410400,河南,平顶山
410500,河南,安阳
410600,河南,鹤壁
410700,河南,新乡
410800,河南,焦作
410900,河南,濮阳
411000,河南,许昌
411100,河南,漯河
411200,河南,三门峡
411300,河南,南阳
411400,河南,商丘
411500,河南,信阳
411600,河南,周口
411700,河南,驻马店
419001,河南,济源
420000,湖北
420100,湖北,武汉
420200,湖北,黄石
420300,湖北,十堰
420500,湖北,宜昌
420600,湖北,襄阳
420700,湖北,鄂州
420800,湖北,荆门
420900,湖北,孝感
421000,湖北,荆州
421100,湖北,黄冈
421200,湖北,咸宁
421300,湖北,随州
422800,湖北,恩施土家族苗族自治州
429004,湖北,仙桃
429005,湖北,潜江
429006,湖北,天门
429021,湖北,神农架林区
430000,湖南
430100,湖南,长沙
430200,湖南,株洲
430300,湖南,湘潭
430400,湖南,衡阳
430500,湖南,邵阳
430600,湖南,岳阳
430700,湖南,常德
430800,湖南,张家界
430900,湖南,益阳
431000,湖南,郴州
431100,湖南,永州
431200,湖南,怀化
431300,湖南,娄底
433100,湖南,湘西土家族苗族自治州
440000,广东
440100,广东,广州
440200,广东,韶关
440300,广东,深圳
440400,广东,珠海
440500,广东,汕头
440600,广东,佛山
440700,广东,江门
440800,广东,湛江
440900,广东,茂名
441200,广东,肇庆
441300,广东,惠州
441400,广东,梅州
441500,广东,汕尾
441600,广东,河源
441700,广东,阳江
441800,广东,清远
441900,广东,东莞
442000,广东,中山
445100,广东,潮州
445200,广东,揭阳
445300,广东,云浮
450000,广西
450100,广西,南宁
450200,广西,柳州
450300,广西,桂林
450400,广西,梧州
450500,广西,北海
450600,广西,防城港
450700,广西,钦州
450800,广西,贵港
450900,广西,玉林
451000,广西,百色
451100,广西,贺州
451200,广西,河池
451300,广西,来宾
451400,广西,崇左
460000,海南
460100,海南,海口
460200,海南,三亚
460400,海南,儋州
469001,海南,五指山
469002,海南,琼海
469005,海南,文昌
469006,海南,万宁
469007,海南,东方
469021,海南,定安县
469022,海南,屯昌县
469023,海南,澄迈县
469024,海南,临高县
469025,海南,白沙黎族自治县
469026,海南,昌江黎族自治县
469027,海南,乐东黎族自治县
469028,海南,陵水黎族自治县
469029,海南,保亭黎族苗族自治县
469030,海南,琼中黎族苗族自治县
500000,重庆,重庆
510000,四川
510100,四川,成都
510300,四川,自贡
510400,四川,攀枝花
510500,四川,泸州
510600,四川,德阳
510700,四川,绵阳
510800,四川,广元
510900,四川,遂宁
511000,四川,内江
511100,四川,乐山
511300,四川,南充
511400,四川,眉山
511500,四川,宜宾
511600,四川,广安
511700,四川,达州
511800,四川,雅安
511900,四川,巴中
512000,四川,资阳
513200,四川,阿坝藏族羌族自治州
513300,四川,甘孜藏族自治州
513400,四川,凉山彝族自治州
520000,贵州
520100,贵州,贵阳
520200,贵州,六盘水
520300,贵州,遵义
520400,贵州,安顺
520500,贵州,毕节
520600,贵州,铜仁
522300,贵州,黔西南布依族苗族自治州
522600,贵州,黔东南苗族侗族自治州
522700,贵州,黔南布依族苗族自治州
530000,云南
530100,云南,昆明
530300,云南,曲靖
530400,云南,玉溪
530500,云南,保山
530600,云南,昭通
530700,云南,丽江
530800,云南,普洱
530900,云南,临沧
532300,云南,楚雄彝族自治州
532500,云南,红河哈尼族彝族自治州
532600,云南,文山壮族苗族自治州
532800,云南,西双版纳傣族自治州
532900,云南,大理白族自治州
533100,云南,德宏傣族景颇族自治州
533300,云南,怒江傈僳族自治州
533400,云南,迪庆藏族自治州
540000,西藏
540100,西藏,拉萨
540200,西藏,日喀则
540300,西藏,昌都
540400,西藏,林芝
540500,西藏,山南
540600,西藏,那曲
542500,西藏,阿里地区
610000,陕西
610100,陕西,西安
610200,陕西,铜川
610300,陕西,宝鸡
610400,陕西,咸阳
610500,陕西,渭南
610600,陕西,延安
610700,陕西,汉中
610800,陕西,榆林
610900,陕西,安康
611000,陕西,商洛
620000,甘肃
620100,甘肃,兰州
620200,甘肃,嘉峪关
620300,甘肃,金昌
620400,甘肃,白银
620500,甘肃,天水
620600,甘肃,武威
620700,甘肃,张掖
620800,甘肃,平凉
620900,甘肃,酒泉
621000,甘肃,庆阳
621100,甘肃,定西
621200,甘肃,陇南
622900,甘肃,临夏回族自治州
623000,甘肃,甘南藏族自治州
630000,青海
630100,青海,西宁
630200,青海,海东
632200,青海,海北藏族自治州
632300,青海,黄南藏族自治州
632500,青海,海南藏族自治州
632600,青海,果洛藏族自治州
632700,青海,玉树藏族自治州
632800,青海,海西蒙古族藏族自治州
640000,宁夏
640100,宁夏,银川
640200,宁夏,石嘴山
640300,宁夏,吴忠
640400,宁夏,固原
640500,宁夏,中卫
650000,新疆
650100,新疆,乌鲁木齐
650200,新疆,克拉玛依
650400,新疆,吐鲁番
650500,新疆,哈密
652300,新疆,昌吉回族自治州
652700,新疆,博尔塔拉蒙古自治州
652800,新疆,巴音郭楞蒙古自治州
652900,新疆,阿克苏地区
653000,新疆,克孜勒苏柯尔克孜自治州
653100,新疆,喀什地区
653200,新疆,和田地区
654000,新疆,伊犁哈萨克自治州
654200,新疆,塔城地区
654300,新疆,阿勒泰地区
659001,新疆,石河子
659002,新疆,阿拉尔
659003,新疆,图木舒克
659004,新疆,五家渠
659005,新疆,北屯
659006,新疆,铁门关
659007,新疆,双河
659008,新疆,可克达拉
659009,新疆,昆玉
710000,台湾
710100,台湾,新北市
710200,台湾,高雄市
710300,台湾,台中市
710400,台湾,台北市
710500,台湾,桃园市
710600,台湾,台南市
710700,台湾,彰化县
710800,台湾,屏东县
710900,台湾,云林县
711000,台湾,苗栗县
711100,台湾,新竹县
711200,台湾,嘉义县
711300,台湾,南投县
711400,台湾,宜兰县
711500,台湾,新竹市
711600,台湾,基隆市
711700,台湾,花莲县
711800,台湾,嘉义市
711900,台湾,台东县
712000,台湾,金门县
712100,台湾,澎湖县
712200,台湾,连江县
810000,香港
820000,澳门